"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M16 [Stock Position (During the month)]","16.1.1A","Stock Position of Pentavalent","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.1A","Stock Position of Pentavalent","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.1A","Stock Position of Pentavalent","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.1A","Stock Position of Pentavalent","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.1A","Stock Position of Pentavalent","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.1.2","Stock position of OPV vaccines","1. Balance From Previous Month","154","46320","7440","-38880","0","59320","19100","-40220","0","24820","38800","13980","0","21620","21300","-320","0","46960","400","-46560","0","42060","1500","-40560","0","50860","11600","-39260","0","70600","5900","-64700","0","66700","5635","-61065","0","82700","2635","-80065","0","66380","2635","-63745","0","82500","7135","-75365","0","660840","124080"
"M16 [Stock Position (During the month)]","16.1.2","Stock position of OPV vaccines","2. Stocks Received","154","40000","870000","830000","0",NA,"65000","65000","0","40000","10000","-30000","0","60000","20000","-40000","0","20000","40000","20000","0","44000","60000","16000","0","48000","40000","-8000","0","48000","2000","-46000","0","72000","40000","-32000","0","10000","21700","11700","0","875000","20000","-855000","0","7320","40000","32680","0","1264320","1228700"
"M16 [Stock Position (During the month)]","16.1.2","Stock position of OPV vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.2","Stock position of OPV vaccines","4. Stock Distributed","154","27000","858340","831340","0","34500","45300","10800","0","43200","27500","-15700","0","34660","40900","6240","0","24900","38900","14000","0","35200","49900","14700","0","28260","45700","17440","0","51900","2265","-49635","0","56000","43000","-13000","0","26320","21000","-5320","0","858880","15500","-843380","0","16000","30000","14000","0","1236820","1218305"
"M16 [Stock Position (During the month)]","16.1.2","Stock position of OPV vaccines","5. Total Stock","154","59320","19100","-40220","0","24820","38800","13980","0","21620","21300","-320","0","46960","400","-46560","0","42060","1500","-40560","0","50860","11600","-39260","0","70600","5900","-64700","0","66700","5635","-61065","0","82700","2635","-80065","0","66380","3335","-63045","0","82500","7135","-75365","0","73820","17135","-56685","0","688340","134475"
"M16 [Stock Position (During the month)]","16.1.3","Stock position of TT vaccines","1. Balance From Previous Month","154","29760","26250","-3510","0","58830","18550","-40280","0","40630","26200","-14430","0","26530","7400","-19130","0","5980","12640","6660","0","39400","31520","-7880","0","50050","11420","-38630","0","40000","16320","-23680","0","28300","15895","-12405","0","38000","21655","-16345","0","44050","21655","-22395","0","39850","16755","-23095","0","441380","226260"
"M16 [Stock Position (During the month)]","16.1.3","Stock position of TT vaccines","2. Stocks Received","154","43770","10000","-33770","0",NA,"24000","24000","0",NA,NA,"0","0",NA,"19940","19940","0","50000","32000","-18000","0","30000",NA,"-30000","0","10000","18000","8000","0","10000","1200","-8800","0","36000","22500","-13500","0","20250","22500","2250","0","12000","10000","-2000","0","10000","10000","0","0","222020","170140"
"M16 [Stock Position (During the month)]","16.1.3","Stock position of TT vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.3","Stock position of TT vaccines","4. Stock Distributed","154","14700","17700","3000","0","18200","16350","-1850","0","14100","18800","4700","0","20550","14700","-5850","0","16580","13120","-3460","0","19350","20100","750","0","20050","13100","-6950","0","21700","1625","-20075","0","26300","16740","-9560","0","14200","16230","2030","0","16200","14900","-1300","0","13700","15900","2200","0","215630","179265"
"M16 [Stock Position (During the month)]","16.1.3","Stock position of TT vaccines","5. Total Stock","154","58830","18550","-40280","0","40630","26200","-14430","0","26530","7400","-19130","0","5980","12640","6660","0","39400","31520","-7880","0","50050","11420","-38630","0","40000","16320","-23680","0","28300","15895","-12405","0","38000","21655","-16345","0","44050","27925","-16125","0","39850","16755","-23095","0","36150","10855","-25295","0","447770","217135"
"M16 [Stock Position (During the month)]","16.1.4","Stock position of DT vaccines","1. Balance From Previous Month","154","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250","4040","1790","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","2250",NA,"-2250","0","27000","4040"
"M16 [Stock Position (During the month)]","16.1.4","Stock position of DT vaccines","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.4","Stock position of DT vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.4","Stock position of DT vaccines","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.4","Stock position of DT vaccines","5. Total Stock","154","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","2250","4040","1790","0","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","2250","0","-2250","0","27000","4040"
"M16 [Stock Position (During the month)]","16.1.5","Stock position of BCG vaccines","1. Balance From Previous Month","154","39560","6900","-32660","0","27360","2100","-25260","0","12360","8700","-3660","0","27950","6000","-21950","0","40800","3100","-37700","0","47750","14600","-33150","0","31250","10500","-20750","0","28550","20950","-7600","0","26950","21440","-5510","0","27800","19290","-8510","0","32500","19290","-13210","0","22850","20990","-1860","0","365680","153860"
"M16 [Stock Position (During the month)]","16.1.5","Stock position of BCG vaccines","2. Stocks Received","154",NA,"14000","14000","0",NA,"16000","16000","0","30000","14000","-16000","0","30000","14000","-16000","0","20000","28000","8000","0",NA,"14000","14000","0","16000","20000","4000","0","16000","2000","-14000","0","20000","20000","0","0","18000","22000","4000","0","8000","15000","7000","0","14000","18000","4000","0","172000","197000"
"M16 [Stock Position (During the month)]","16.1.5","Stock position of BCG vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.5","Stock position of BCG vaccines","4. Stock Distributed","154","12200","18800","6600","0","15000","9400","-5600","0","14410","16700","2290","0","17150","16900","-250","0","13050","16500","3450","0","16500","18100","1600","0","18700","9550","-9150","0","17600","1510","-16090","0","19150","22150","3000","0","13300","16350","3050","0","17650","13300","-4350","0","14050","16600","2550","0","188760","175860"
"M16 [Stock Position (During the month)]","16.1.5","Stock position of BCG vaccines","5. Total Stock","154","27360","2100","-25260","0","12360","8700","-3660","0","27950","6000","-21950","0","40800","3100","-37700","0","47750","14600","-33150","0","31250","10500","-20750","0","28550","20950","-7600","0","26950","21440","-5510","0","27800","19290","-8510","0","32500","24940","-7560","0","22850","20990","-1860","0","22800","22390","-410","0","348920","175000"
"M16 [Stock Position (During the month)]","16.1.6","Stock position of Measles vaccines","1. Balance From Previous Month","154","12075","5560","-6515","0","15300","13410","-1890","0","6000","23660","17660","0","8650","11660","3010","0","7850","6660","-1190","0","19100","15410","-3690","0","20500","6920","-13580","0","18925","3530","-15395","0","19250","2070","-17180","0","17875","4685","-13190","0","18300","4685","-13615","0","11750","9630","-2120","0","175575","107880"
"M16 [Stock Position (During the month)]","16.1.6","Stock position of Measles vaccines","2. Stocks Received","154","9925","20000","10075","0",NA,"20000","20000","0","10000",NA,"-10000","0","10000","5000","-5000","0","20000","20000","0","0","20000",NA,"-20000","0","10000","20000","10000","0","10000","1000","-9000","0","10000","15000","5000","0","10000","15000","5000","0","5000","15000","10000","0","5000","10000","5000","0","119925","141000"
"M16 [Stock Position (During the month)]","16.1.6","Stock position of Measles vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.6","Stock position of Measles vaccines","4. Stock Distributed","154","6700","12150","5450","0","9300","9750","450","0","7350","12000","4650","0","10800","10000","-800","0","8750","11250","2500","0","18600","22330","3730","0","11575","9550","-2025","0","9675","2460","-7215","0","11375","12385","1010","0","9575","15775","6200","0","11550","10055","-1495","0","9890","11200","1310","0","125140","138905"
"M16 [Stock Position (During the month)]","16.1.6","Stock position of Measles vaccines","5. Total Stock","154","15300","13410","-1890","0","6000","23660","17660","0","8650","11660","3010","0","7850","6660","-1190","0","19100","15410","-3690","0","20500","-6920","-27420","0","18925","17370","-1555","0","19250","2070","-17180","0","17875","4685","-13190","0","18300","3910","-14390","0","11750","9630","-2120","0","6860","8430","1570","0","170360","109975"
"M16 [Stock Position (During the month)]","16.1.7","Stock position of JE vaccines","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.7","Stock position of JE vaccines","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.7","Stock position of JE vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.7","Stock position of JE vaccines","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.7","Stock position of JE vaccines","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.1.8","Stock position of Hepatitis B vaccines","1. Balance From Previous Month","154","14800","8000","-6800","0","31800","10900","-20900","0","4700","18950","14250","0","1820","3750","1930","0","5720","6100","380","0","23870","2800","-21070","0","35520","3500","-32020","0","37120","6300","-30820","0","40520","6575","-33945","0","48370","3935","-44435","0","55080","3935","-51145","0","42030","6285","-35745","0","341350","81030"
"M16 [Stock Position (During the month)]","16.1.8","Stock position of Hepatitis B vaccines","2. Stocks Received","154","30000","32000","2000","0",NA,"30000","30000","0",NA,"10000","10000","0","6000","24000","18000","0","24000","10000","-14000","0","36000","25000","-11000","0","30000","22500","-7500","0","30000","2650","-27350","0","36000","25000","-11000","0","30000","30000","0","0","12000","24000","12000","0","12000","21000","9000","0","246000","256150"
"M16 [Stock Position (During the month)]","16.1.8","Stock position of Hepatitis B vaccines","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.1.8","Stock position of Hepatitis B vaccines","4. Stock Distributed","154","13000","29100","16100","0","27100","21950","-5150","0","7280","25200","17920","0","2100","21650","19550","0","5850","13300","7450","0","24350","24300","-50","0","28400","19700","-8700","0","26600","2375","-24225","0","28150","27640","-510","0","23290","24800","1510","0","25050","21650","-3400","0","16330","22100","5770","0","227500","253765"
"M16 [Stock Position (During the month)]","16.1.8","Stock position of Hepatitis B vaccines","5. Total Stock","154","31800","10900","-20900","0","4700","18950","14250","0","-2580","3750","6330","0","5720","6100","380","0","23870","2800","-21070","0","35520","3500","-32020","0","37120","6300","-30820","0","40520","6575","-33945","0","48370","3935","-44435","0","55080","9135","-45945","0","42030","6285","-35745","0","37700","5185","-32515","0","359850","83415"
"M16 [Stock Position (During the month)]","16.2.1","Stock Position of IU 380 A (to be used for Family Planning)","1. Balance From Previous Month","154",NA,"7713","7713","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","343",NA,"-343","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","343","7713"
"M16 [Stock Position (During the month)]","16.2.1","Stock Position of IU 380 A (to be used for Family Planning)","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","6557",NA,"-6557","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","6557",NA
"M16 [Stock Position (During the month)]","16.2.1","Stock Position of IU 380 A (to be used for Family Planning)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.2.1","Stock Position of IU 380 A (to be used for Family Planning)","4. Stock Distributed","154",NA,"7713","7713","0",NA,"7713","7713","0",NA,NA,"0","0","6900",NA,"-6900","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","6900","15426"
"M16 [Stock Position (During the month)]","16.2.1","Stock Position of IU 380 A (to be used for Family Planning)","5. Total Stock","154","0","0","0","0","0","-7713","-7713","0","0","0","0","0","-343","0","343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","343","0","-343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-7713"
"M16 [Stock Position (During the month)]","16.2.2","Stock Position of Condoms (to be used for Family Planning)","1. Balance From Previous Month","154","1000","41000","40000","0","1000","16500","15500","0","500","9400","8900","0","500","6900","6400","0","500","6900","6400","0","500","6900","6400","0","500","6900","6400","0","500","6900","6400","0","500","159900","159400","0","500","159900","159400","0","500","159900","159400","0","500","159900","159400","0","7000","741000"
"M16 [Stock Position (During the month)]","16.2.2","Stock Position of Condoms (to be used for Family Planning)","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","103000",NA,"-103000","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"156000","156000","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"210000","210000","0","103000","366000"
"M16 [Stock Position (During the month)]","16.2.2","Stock Position of Condoms (to be used for Family Planning)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.2.2","Stock Position of Condoms (to be used for Family Planning)","4. Stock Distributed","154",NA,"24500","24500","0","500","24500","24000","0",NA,"2500","2500","0","103000",NA,"-103000","0",NA,NA,"0","0",NA,NA,"0","0",NA,"6900","6900","0",NA,"3000","3000","0",NA,NA,"0","0",NA,"159900","159900","0",NA,"159900","159900","0",NA,"37000","37000","0","103500","418200"
"M16 [Stock Position (During the month)]","16.2.2","Stock Position of Condoms (to be used for Family Planning)","5. Total Stock","154","1000","16500","15500","0","500","-8000","-8500","0","500","6900","6400","0","500","6900","6400","0","500","6900","6400","0","500","6900","6400","0","500","0","-500","0","500","159900","159400","0","500","159900","159400","0","500","0","-500","0","500","0","-500","0","500","332900","332400","0","6500","688800"
"M16 [Stock Position (During the month)]","16.2.3","Stock Position of Oral Contraceptive (to be used for Family Planning)","1. Balance From Previous Month","154","4500",NA,"-4500","0","4000",NA,"-4000","0","3600",NA,"-3600","0","1600",NA,"-1600","0","5300",NA,"-5300","0","4347",NA,"-4347","0","3800",NA,"-3800","0","3800",NA,"-3800","0","2300",NA,"-2300","0","2000",NA,"-2000","0","500",NA,"-500","0","500",NA,"-500","0","36247",NA
"M16 [Stock Position (During the month)]","16.2.3","Stock Position of Oral Contraceptive (to be used for Family Planning)","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","12000",NA,"-12000","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"10000","10000","0","12000","10000"
"M16 [Stock Position (During the month)]","16.2.3","Stock Position of Oral Contraceptive (to be used for Family Planning)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.2.3","Stock Position of Oral Contraceptive (to be used for Family Planning)","4. Stock Distributed","154","500",NA,"-500","0","400",NA,"-400","0","2000",NA,"-2000","0","8300",NA,"-8300","0","953",NA,"-953","0","547",NA,"-547","0",NA,NA,"0","0","1500",NA,"-1500","0","300",NA,"-300","0","1500",NA,"-1500","0",NA,NA,"0","0",NA,"1200","1200","0","16000","1200"
"M16 [Stock Position (During the month)]","16.2.3","Stock Position of Oral Contraceptive (to be used for Family Planning)","5. Total Stock","154","4000","0","-4000","0","3600","0","-3600","0","1600","0","-1600","0","5300","0","-5300","0","4347","0","-4347","0","3800","0","-3800","0","3800","0","-3800","0","2300","0","-2300","0","2000","0","-2000","0","500","0","-500","0","500","0","-500","0","500","8800","8300","0","32247","8800"
"M16 [Stock Position (During the month)]","16.2.4","Stock Position of Emergency Contraceptive (to be used for Family Planning)","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","350",NA,"-350","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","350",NA
"M16 [Stock Position (During the month)]","16.2.4","Stock Position of Emergency Contraceptive (to be used for Family Planning)","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","4000",NA,"-4000","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"11520","11520","0","4000","11520"
"M16 [Stock Position (During the month)]","16.2.4","Stock Position of Emergency Contraceptive (to be used for Family Planning)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.2.4","Stock Position of Emergency Contraceptive (to be used for Family Planning)","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","3650",NA,"-3650","0","350",NA,"-350","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","4000",NA
"M16 [Stock Position (During the month)]","16.2.4","Stock Position of Emergency Contraceptive (to be used for Family Planning)","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","350","0","-350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11520","11520","0","350","11520"
"M16 [Stock Position (During the month)]","16.2.5","Stock Position of Tubal Rings (to be used for Family Planning)","1. Balance From Previous Month","154",NA,NA,"0","0","1400",NA,"-1400","0","400",NA,"-400","0",NA,NA,"0","0","1500",NA,"-1500","0","1500",NA,"-1500","0","1100",NA,"-1100","0","1100",NA,"-1100","0","4100",NA,"-4100","0","3500",NA,"-3500","0","2000",NA,"-2000","0","1600",NA,"-1600","0","18200",NA
"M16 [Stock Position (During the month)]","16.2.5","Stock Position of Tubal Rings (to be used for Family Planning)","2. Stocks Received","154","2000",NA,"-2000","0",NA,NA,"0","0",NA,NA,"0","0","2000",NA,"-2000","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","4500",NA,"-4500","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","8500",NA
"M16 [Stock Position (During the month)]","16.2.5","Stock Position of Tubal Rings (to be used for Family Planning)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.2.5","Stock Position of Tubal Rings (to be used for Family Planning)","4. Stock Distributed","154","600",NA,"-600","0","1000",NA,"-1000","0","400",NA,"-400","0","500",NA,"-500","0",NA,NA,"0","0","400",NA,"-400","0",NA,NA,"0","0","1500",NA,"-1500","0","600",NA,"-600","0","1500",NA,"-1500","0","400",NA,"-400","0","400",NA,"-400","0","7300",NA
"M16 [Stock Position (During the month)]","16.2.5","Stock Position of Tubal Rings (to be used for Family Planning)","5. Total Stock","154","1400","0","-1400","0","400","0","-400","0","0","0","0","0","1500","0","-1500","0","1500","0","-1500","0","1100","0","-1100","0","1100","0","-1100","0","4100","0","-4100","0","3500","0","-3500","0","2000","0","-2000","0","1600","0","-1600","0","1200","0","-1200","0","19400","0"
"M16 [Stock Position (During the month)]","16.3.01","Stock Position of Oxytocin Injection","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.01","Stock Position of Oxytocin Injection","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.01","Stock Position of Oxytocin Injection","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.01","Stock Position of Oxytocin Injection","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.01","Stock Position of Oxytocin Injection","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
